Location,Stone No,Report No,Lab,Shape,Carats,Color,Clarity,Cut,Polish,Sym,Flour,Measurement,Diameter (MM),Depth %,Table %,Key To Symbols,Amount$,BGM
HK,DP-1,1232495312,GIA,ROUND,10.02,J,SI2,EX,EX,EX,MED,13.79 - 13.87 * 8.46,13.8,61.2,60,"Crystal, Feather",148346.1,NO BGM
VN,DQ-2,717543836,GIA,ROUND,10.01,K,VS2,EX,EX,EX,NON,13.48 - 13.57 * 8.63,13.5,63.7,58,,118693.57,NO BGM
IND,TB-7,5234038396,GIA,ROUND,8.02,D,FL,EX,EX,EX,MED,12.77 - 12.85 * 7.87,12.8,61.4,59,,372930,NO BGM
HK,DO-1,5231495325,GIA,ROUND,7.12,E,SI2,EX,EX,EX,NON,12.24 - 12.32 * 7.65,12.2,62.3,57,"Crystal, Feather, Needle",142827.2,NO BGM
VN,UQ-1,1485130786,GIA,ROUND,6.23,E,FL,EX,EX,EX,STG,11.92 - 11.95 * 7.21,11.9,60.4,58,,202879.95,NO BGM
IND,IH25-1,6532093371,GIA,ROUND,5.5,K,IF,EX,EX,EX,STG,11.32 - 11.39 * 6.94,11.3,61.1,60,,62315,NO BGM
HK,SQ-3,2468830993,GIA,ROUND,5.12,D,SI1,EX,EX,EX,FNT,10.96 - 11.02 * 6.90,11.3,62.8,56,"Crystal, Pinpoint",107878.4,NO BGM
VN,AB-1,651448812,GIA,ROUND,5.06,D,SI2,EX,EX,EX,SLT,10.91 - 10.96 * 6.83,11.3,62.4,58,,57380.4,NO BGM
IND,G25-8141,7541148395,GIA,ROUND,5.06,J,IF,EX,EX,EX,FNT,11.00 - 11.07 * 6.77,11.3,61.3,56,,82174.4,NO BGM
HK,BD-6473,2215912633,GIA,ROUND,5.05,F,SI1,EX,EX,EX,STG,10.90 - 10.98 * 6.85,11.3,62.7,57,Crystal,62721,NO BGM
VN,HR-1,1539083815,GIA,ROUND,5.03,D,VS1,EX,EX,EX,VSTG,11.11 - 11.13 * 6.70,11.3,60.2,58,,100650.3,NO BGM
IND,II25-1,2536283287,GIA,ROUND,3.26,F,VS1,EX,EX,EX,STG,9.40 - 9.44 * 5.92,11.3,62.8,58,"Crystal, Pinpoint, Needle",35582.9,NO BGM
HK,HS-1,6532526861,GIA,ROUND,3.05,M,VVS1,EX,EX,EX,MED,9.21 - 9.28 * 5.77,11.3,62.4,59,Pinpoint,13322.4,NO BGM
VN,HM-9,2.5E+11,GIA,ROUND,2.05,J,SI2,EX,EX,EX,STG,8.08 - 8.12 * 5.05,11.3,62.3,57,,3616.2,NO BGM
IND,G25-7859,1547249929,GIA,ROUND,2.03,H,SI1,EX,EX,EX,FNT,8.03 - 8.06 * 5.02,11.3,62.4,57,"Crystal, Cloud, Needle",11506.04,NO BGM
HK,OQ-40,1457159045,GIA,ROUND,2.02,G,I2,EX,EX,EX,FNT,8.03 - 8.07 * 5.06,11.3,62.9,57,"Twinning Wisp, Feather, Crystal, Needle, Indented Natural, Natural",3110.8,NO BGM
VN,S25-3292,2.5E+11,GIA,ROUND,2.01,G,SI2,VG,EX,VG,SLT,7.79 - 7.89 * 5.08,11.3,64.6,56,,5640.06,NO BGM
IND,BBP-83,2.5E+11,GIA,ROUND,2.01,H,SI1,GD,VG,VG,STG,7.65 - 7.72 * 5.09,11.3,66.1,58,,5330.52,NO BGM
HK,GR-124,2528399489,GIA,ROUND,2.01,H,SI2,GD,EX,VG,NON,7.64 - 7.74 * 5.11,11.3,66.4,59,"Cloud, Crystal, Feather, Needle, Indented Natural, Natural",6395.82,NO BGM
VN,AZP-32,3515189781,GIA,ROUND,2.01,J,SI2,VG,EX,VG,NON,7.82 - 7.92 * 5.00,11.3,63.5,57,"Crystal, Needle, Indented Natural, Natural",4811.94,NO BGM
IND,G25-8473,754579695,GIA,ROUND,2.01,K,VS1,VG,EX,VG,SLT,7.81 - 7.89 * 5.06,11.3,64.3,57,,4783.8,NO BGM
HK,S25-3356,2.5E+11,GIA,ROUND,2,F,SI2,FR,VG,VG,STG,7.66 - 7.71 * 5.07,11.3,65.9,55,,5390,NO BGM
VN,AS-123,647428498,GIA,ROUND,2,G,SI2,VG,EX,EX,NON,7.80 - 7.86 * 5.04,11.3,64.4,56,,4600,NO BGM
IND,G25-7934,2547172336,GIA,ROUND,2,H,VS2,VG,EX,VG,NON,8.03 - 8.09 * 4.94,11.3,61.3,65,"Feather, Needle, Pinpoint, Natural",11270,NO BGM
HK,G25-7064,6541184738,GIA,ROUND,2,H,VS2,VG,EX,VG,FNT,7.81 - 7.90 * 5.05,11.3,64.3,58,"Crystal, Cloud, Feather, Indented Natural, Needle, Natural",10580,NO BGM
VN,G25-6664,7541169961,GIA,ROUND,2,J,VS2,GD,EX,GD,FNT,7.54 - 7.72 * 5.15,11.3,67.5,56,"Cloud, Indented Natural, Crystal, Needle, Natural",6460,NO BGM
IND,GR-42,5526366364,GIA,ROUND,1.71,D,SI1,EX,EX,EX,FNT,7.58 - 7.64 * 4.76,11.3,62.6,56,"Crystal, Feather, Cloud",7951.5,NO BGM
HK,CJ-50,687509039,GIA,ROUND,1.71,D,I1,EX,EX,EX,STG,7.61 - 7.66 * 4.73,11.3,62,56,,3009.6,NO BGM
VN,BBP-7,722558732,GIA,ROUND,1.7,M,SI1,EX,EX,EX,NON,7.54 - 7.60 * 4.80,11.3,63.4,56,,1659.2,NO BGM
IND,BBP-77,2.5E+11,GIA,ROUND,1.63,I,SI2,EX,EX,EX,NON,7.47 - 7.49 * 4.70,11.3,62.8,56,,2410.77,NO BGM
HK,S25-2554,2.5E+11,GIA,ROUND,1.61,H,I1,EX,EX,EX,NON,7.43 - 7.47 * 4.69,11.3,63,57,,2366.7,NO BGM
VN,BBP-39,720591151,GIA,ROUND,1.61,K,SI1,EX,EX,EX,NON,7.44 - 7.48 * 4.68,11.3,62.8,58,,2060.8,NO BGM
IND,RU-86,6465389551,GIA,ROUND,1.6,G,SI2,EX,EX,EX,NON,7.42 - 7.46 * 4.67,11.3,62.8,58,"Crystal, Feather, Needle, Indented Natural, Natural",3552,NO BGM
HK,BX-351,6501847802,GIA,ROUND,1.6,J,SI2,EX,EX,EX,STG,7.46 - 7.49 * 4.62,11.3,61.9,58,"Crystal, Feather, Cloud, Cavity, Needle, Indented Natural",2270.4,NO BGM
VN,S25-2559,6541146709,GIA,ROUND,1.59,F,VS2,EX,EX,EX,NON,7.42 - 7.48 * 4.67,11.3,62.7,56,"Crystal, Cloud, Needle",8516.04,NO BGM
