Stone No ,Report No,Shape,Carats,Color,Clarity,Cut,Polish,Sym,Fluor,Measurement,Diameter (MM),Depth %,Table %,Lab,Amount$,Location,GIALINK,videoLink,Key To Symbols,BGM
64073,1529989942,ROUND,1.01,F,IF,EX,EX,EX,NONE,6.38-6.41*3.98,,62.3,61,GIA,6052,INDIA,,,,NO
1694832,1232544377,ROUND,0.61,F,IF,EX,EX,EX,NONE,5.45-5.48*3.35,,61.2,59,GIA,1558,INDIA,,,Minor Details of Polish,NO
64074,1533059501,ROUND,1.01,D,VVS1,EX,EX,EX,NONE,6.39-6.42*3.97,,62.1,62,GIA,7240,INDIA,,,"Pinpoint,Feather",NO
64075,2526995801,ROUND,1.01,E,VVS1,EX,EX,EX,NONE,6.39-6.41*3.93,,61.4,61,GIA,6278,INDIA,,,"Pinpoint,Feather",NO
64080,1528989968,ROUND,1.16,G,VVS1,EX,EX,EX,NONE,6.66-6.70*4.19,,62.7,56,GIA,4999,INDIA,,,Pinpoint,NO
64079,1528828067,ROUND,1.01,E,VVS2,EX,EX,EX,NONE,6.38-6.40*4.02,,62.9,57,GIA,5176,INDIA,,,Pinpoint,NO
64072,2528938447,ROUND,1.01,F,VVS2,EX,EX,EX,NONE,6.36-6.41*4.01,,62.9,59,GIA,9050,INDIA,,,"Cloud,Pinpoint",NO
56459,5234087082,ROUND,1.53,K,VVS2,EX,EX,EX,NONE,7.36-7.38*4.60,,62.4,56,GIA,4282,INDIA,,,Pinpoint,NO
56458,6234087080,ROUND,1.51,M,VVS2,EX,EX,EX,STG,7.30-7.35*4.58,,62.5,56,GIA,2770,INDIA,,,"Needle, Pinpoint",NO
251883892,2518883892.00,ROUND,5.01,F,VS1,EX,EX,EX,STG,10.78-10.88*6.79,,62.7,61,GIA,109082,INDIA,,,"Crystal,Cloud,Needle,Feather,Indented Natural",NO
64078,6525938578,ROUND,1.14,G,VS1,EX,EX,EX,NONE,6.64-6.66*4.17,,62.7,57,GIA,3993,INDIA,,,"Crystal,Pinpoint,Needle",NO
64077,1525938579,ROUND,1.01,G,VS1,EX,EX,EX,NONE,6.49-6.50*3.90,,60.1,61,GIA,3471,INDIA,,,"Crystal,Cloud,Needle",NO
54264,2223722275,ROUND,1.28,K,VS1,EX,EX,EX,NONE,6.91-6.94*4.35,,62.8,55,GIA,2370,INDIA,,,"Cloud, Crystal",NO
56448,6237087100,ROUND,1.04,N,VS1,EX,EX,EX,FAINT,6.47-6.49*4,,61.7,59,GIA,1313,INDIA,,,"Crystal, Cloud, Needle",NO
64076,1529857445,ROUND,1.14,E,VS2,EX,EX,EX,NONE,6.71-6.74*4.11,,61.1,57,GIA,4196,INDIA,,,"Twinning Wisp,Crystal",NO
62930,6233733054,ROUND,2.20,F,VS2,EX,EX,EX,NONE,8.41-8.43*5.11,,60.7,59,GIA,24763,INDIA,,,"Crystal,Needle",NO
64117,2544334905,ROUND,2.01,F,VS2,EX,EX,EX,NONE,7.98-8.05*5.05,,63,57,GIA,19248,INDIA,,,"Crystal,Cloud,Indented Natural,Natural",NO
16611370,7508995910,ROUND,1.55,I,VS2,EX,EX,EX,NONE,7.37-7.43*0,,61.8,60,GIA,5250,INDIA,,,"Cloud, Crystal, Feather, Needle",NO
7483636,6511367814,ROUND,7.07,G,VS2,EX,EX,EX,MED,12.16-12.24*7.58,,62.1,57,GIA,168899,INDIA,,,"Crystal, Pinpoint",NO
7916066,7538691430,ROUND,5.00,J,VVS1,EX,EX,EX,MED,10.83-10.92*6.75,,62,60,GIA,60424,HONG KONG,,,"PINPOINT, FEATHER",NO
7505137,5232537981,ROUND,5.00,I,VVS2,EX,EX,EX,FAINT,10.82-10.88*6.73,,62,59,GIA,85554,HONG KONG,,,PINPOINT,NO
7480310,7486869694,ROUND,5.46,D,VS1,EX,EX,EX,NONE,11.28-11.34*6.85,,60.6,58,GIA,208865,INDIA,,,"Crystal, Pinpoint",NO
1830534,7541067706,ROUND,5.01,G,VS2,EX,EX,EX,NONE,10.78-10.86*6.88,,63.6,56,GIA,122457,INDIA,,,"FEATHER, CRYSTAL, NEEDLE, KNOT, PINPOINT, NATURAL",NO
7288356,6545095873,ROUND,5.39,M,VS2,EX,EX,EX,NONE,11.12-11.21*6.98,,62.5,59,GIA,39118,HONG KONG,,,"CLOUD, CRYSTAL, FEATHER",NO
1179354,1236590886,ROUND,4.14,D,VVS1,EX,EX,EX,VST,10.18-10.27*6.37,,62.3,60,GIA,88227,INDIA,,,,NO
1684264,1236482805,ROUND,4.01,E,VVS2,EX,EX,EX,NONE,10.16-10.23*6.22,,61.1,61,GIA,113178,INDIA,,,"Pinpoint, Feather, Cloud",NO
7262300,1537626883,ROUND,4.01,I,VS2,EX,EX,EX,NONE,10.18-10.27*6.19,,60.5,59,GIA,53288,INDIA,,,"CLOUD, FEATHER, CRYSTAL, NEEDLE",NO
7070531,6531626894,ROUND,4.07,L,VS2,EX,EX,EX,NONE,10.05-10.13*6.33,,62.7,58,GIA,25949,HONG KONG,,,"CRYSTAL, FEATHER, NEEDLE",NO
1758740,2524096649,ROUND,3.52,D,IF,EX,EX,EX,VST,9.63-9.7*5.95,,61.6,59,GIA,69386,INDIA,,,,NO
1301886,6525092635,ROUND,3.01,D,VVS1,EX,EX,EX,VST,9.12-9.2*5.67,,61.9,60,GIA,45747,INDIA,,,"Pinpoint, Feather",NO
1493243,2235840280,ROUND,3.00,I,VVS1,EX,EX,EX,NONE,9.08-9.16*5.73,,62.9,57,GIA,37884,INDIA,,,"PINPOINT, FEATHER, NATURAL",NO
2126535,2235799491,ROUND,3.01,G,VVS2,EX,EX,EX,NONE,9.39-9.44*5.61,,59.6,59,GIA,53332,INDIA,,,"CLOUD, FEATHER, PINPOINT",NO
1877519,1232852687,ROUND,3.05,J,VVS2,EX,EX,EX,NONE,9.16-9.23*5.74,,62.5,58,GIA,28182,INDIA,,,"CLOUD, PINPOINT",NO
1251959,6522470439,ROUND,3.70,D,VS1,EX,EX,EX,VST,9.73-9.81*6.14,,62.8,58,GIA,55115,INDIA,,,"CRYSTAL, NEEDLE",NO
7537728,1543096113,ROUND,3.24,D,VS1,EX,EX,EX,STG,9.4-9.44*5.89,,62.5,58,GIA,40008,HONG KONG,,,"CRYSTAL, CLOUD, FEATHER, NEEDLE, PINPOINT",NO
1920393,5231827775,ROUND,3.03,H,VS1,EX,EX,EX,NONE,9.35-9.4*5.69,,60.7,58,GIA,38959,INDIA,,,"CRYSTAL, NEEDLE, PINPOINT",NO
7715722,2544096100,ROUND,3.25,I,VS1,EX,EX,EX,NONE,9.52-9.6*5.78,,60.4,59,GIA,35354,HONG KONG,,,"CRYSTAL, NEEDLE, FEATHER",NO
7461547,6541025191,ROUND,3.50,K,VS1,EX,EX,EX,NONE,9.68-9.76*6,,61.8,60,GIA,27989,HONG KONG,,,"FEATHER, PINPOINT",NO
6221,2526705388,ROUND,3.22,E,VS2,EX,EX,EX,NONE,9.36-9.4*5.87,,62.6,57,GIA,53519,HONG KONG,,,"CRYSTAL, FEATHER, NEEDLE",NO
1100189,5232768646,ROUND,2.35,D,FL,EX,EX,EX,NONE,8.45-8.52*5.24,,61.7,58,GIA,54719,INDIA,,,,NO
1488893,2235742510,ROUND,2.52,E,FL,EX,EX,EX,NONE,8.65-8.71*5.35,,61.7,58,GIA,49914,INDIA,,,,NO
1586623,5232831860,ROUND,2.02,E,IF,EX,EX,EX,NONE,8.02-8.09*4.98,,61.8,58,GIA,33902,INDIA,,,,NO
7015926,1232543675,ROUND,2.60,F,IF,EX,EX,EX,NONE,8.73-8.79*5.41,,61.7,59,GIA,46552,HONG KONG,,,,NO
1522175,1539549190,ROUND,2.50,M,IF,EX,EX,EX,FAINT,8.58-8.66*5.39,,62.5,59,GIA,9615,INDIA,,,,NO
7590954,6461958470,ROUND,2.00,M,IF,EX,EX,EX,NONE,7.91-7.98*5.07,,63.8,56,GIA,5407,HONG KONG,,,,NO
1898746,5232533292,ROUND,2.50,D,VVS1,EX,EX,EX,VST,8.53-8.6*5.42,,63.3,58,GIA,24640,INDIA,,,"Pinpoint, Cloud",NO
1660770,5232827818,ROUND,2.30,D,VVS1,EX,EX,EX,FAINT,8.42-8.45*5.19,,61.5,59,GIA,36128,INDIA,,,PINPOINT,NO
1704459,5231823670,ROUND,2.01,D,VVS1,EX,EX,EX,NONE,8.02-8.08*4.99,,62,56,GIA,36216,INDIA,,,"NEEDLE, CLOUD, FEATHER",NO
1179444,2235833882,ROUND,2.07,E,VVS1,EX,EX,EX,MED,8.11-8.16*5.02,,61.8,57,GIA,26128,INDIA,,,PINPOINT,NO
7491408,6541277680,ROUND,2.20,F,VVS1,EX,EX,EX,NONE,8.25-8.3*5.12,,61.9,59,GIA,32254,HONG KONG,,,"CLOUD, PINPOINT",NO
1164684,1548164091,ROUND,2.10,F,VVS1,EX,EX,EX,NONE,8.11-8.18*5.04,,61.8,59,GIA,29753,INDIA,,,"CLOUD, FEATHER",NO
7887101,2544268402,ROUND,2.40,L,VVS1,EX,EX,EX,FAINT,8.44-8.51*5.31,,62.7,58,GIA,9447,INDIA,,,"CLOUD, PINPOINT, FEATHER",NO
1163146,2544264422,ROUND,2.17,L,VVS1,EX,EX,EX,FAINT,8.15-8.22*5.15,,63,58,GIA,7506,INDIA,,,"PINPOINT, FEATHER",NO
1580194,5533835269,ROUND,2.61,Q-R,VVS1,EX,EX,EX,STG,8.76-8.81*5.44,,61.9,59,GIA,6138,INDIA,,,PINPOINT,NO
1885320,3535628865,ROUND,2.70,D,VVS2,EX,EX,EX,VST,8.95-9*5.41,,60.3,60,GIA,27182,INDIA,,,PINPOINT,NO
1971194,2231844447,ROUND,2.01,E,VVS2,EX,EX,EX,NONE,7.97-8.04*4.95,,61.9,59,GIA,26947,INDIA,,,"FEATHER, PINPOINT",NO
1464492,2233832249,ROUND,2.00,E,VVS2,EX,EX,EX,NONE,8.01-8.06*4.98,,62,61,GIA,26342,INDIA,,,FEATHER,NO
1284999,5232833883,ROUND,2.41,G,VVS2,EX,EX,EX,NONE,8.56-8.62*5.22,,60.8,59,GIA,28726,INDIA,,,"NEEDLE, PINPOINT, CLOUD",NO
7583848,7532267290,ROUND,2.20,G,VVS2,EX,EX,EX,NONE,8.25-8.31*5.13,,62,57,GIA,23784,HONG KONG,,,"FEATHER, PINPOINT",NO
1555103,5231852601,ROUND,2.00,H,VVS2,EX,EX,EX,NONE,8.01-8.08*4.98,,61.9,59,GIA,16934,INDIA,,,FEATHER,NO
1826400,6535372939,ROUND,2.50,K,VVS2,EX,EX,EX,VST,8.61-8.68*5.39,,62.4,56,GIA,10268,INDIA,,,FEATHER,NO
7677302,2547165237,ROUND,2.14,K,VVS2,EX,EX,EX,FAINT,8.11-8.18*5.12,,62.8,57,GIA,8561,INDIA,,,PINPOINT,NO
7170300,6541024984,ROUND,2.06,L,VVS2,EX,EX,EX,NONE,8.03-8.09*5.04,,62.5,57,GIA,7385,HONG KONG,,,"FEATHER, CLOUD, PINPOINT",NO
1231245,5523117310,ROUND,2.80,D,VS1,EX,EX,EX,VST,8.87-8.95*5.67,,63.6,57,GIA,26680,INDIA,,,"Crystal, Pinpoint",NO
1140680,1232799457,ROUND,2.50,D,VS1,EX,EX,EX,MED,8.53-8.6*5.46,,63.7,56,GIA,28126,INDIA,,,"CRYSTAL, FEATHER, NEEDLE, PINPOINT, INDENTED NATURAL, NATURAL",NO
1803973,1232823428,ROUND,2.06,D,VS1,EX,EX,EX,NONE,8.06-8.12*5.01,,61.9,59,GIA,27196,INDIA,,,"CRYSTAL, CLOUD, NEEDLE",NO
1401728,5231804006,ROUND,2.50,E,VS1,EX,EX,EX,STG,8.53-8.61*5.43,,63.4,55,GIA,23940,INDIA,,,"CRYSTAL, NEEDLE, INDENTED NATURAL",NO
2126538,7531526811,ROUND,2.20,E,VS1,EX,EX,EX,NONE,8.31-8.35*5.11,,61.4,58,GIA,27621,INDIA,,,"CRYSTAL, FEATHER, CLOUD, PINPOINT",NO
7247787,6545277715,ROUND,2.03,E,VS1,EX,EX,EX,FAINT,8.04-8.09*4.99,,61.9,58,GIA,21815,HONG KONG,,,"CRYSTAL, FEATHER, PINPOINT, NEEDLE",NO
7006709,6541236755,ROUND,2.00,F,VS1,EX,EX,EX,NONE,7.93-8*5.06,,63.5,56,GIA,22148,HONG KONG,,,"FEATHER, NEEDLE, PINPOINT, NATURAL",NO
1208140,6233828941,ROUND,2.00,F,VS1,EX,EX,EX,NONE,7.95-8.01*5.02,,62.9,56,GIA,21952,INDIA,,,"CRYSTAL, FEATHER, NEEDLE, PINPOINT",NO
